trial,set_size,target_word,distract_words,image_path
0,12,['usuario'],"amets,zatiki,iragarpen,hartzaile,behor,garagardo,bezero,eskularru,igarle,usaimen,sendatze,aditu",../figures/Spanish_0.jpeg
1,24,['inventor'],"eramaile,burrunba,baliabide,suge,izaki,errauts,lehendakari,garai,jatetxe,aitorle,maskor,asmaketa,haritz,hodei,erromes,errolda,lekuko,gonbidatu,apezpiku,amets,itzal,usain,etsai,lursail",../figures/Spanish_1.jpeg
2,24,['época'],"suge,lursail,garaile,orrialde,ariketa,ezkor,txerri,igorle,ostatu,saltzaile,margolari,xake,garagardo,apezpiku,lasterkari,arau,jokalari,mutil,sinadura,haritz,asmaketa,egile,lehendakari,hautagai",../figures/Spanish_2.jpeg
3,8,['abuelo'],"gidari,zerrenda,zaldizko,sukaldari,batzorde,olerkari,usaimen,ordezkari",../figures/Spanish_3.jpeg
4,20,['ejercicio'],"batzar,lasterkari,eskularru,edukitze,errepide,zaindari,lapurreta,ariketa,aita,mandatu,lehorte,hautagai,negu,jatetxe,iruzur,orrialde,ordezkari,idazle,sinadura,lantegi",../figures/Spanish_4.jpeg
5,8,['engaño'],"igarle,sinadura,egile,tximeleta,errauts,sendatze,apezpiku,etsai",../figures/Spanish_5.jpeg
6,28,['edición'],"jauregi,eskularru,idazkari,zorion,lapurreta,gidari,arkume,erabiltzaile,mandatu,sendatze,edukitze,ariketa,eraztun,koadrila,igarle,ordezkari,burrunba,lorpen,haritz,baliabide,mutil,kautxu,hartzaile,irakasle,arau,garaipen,araudi,gerriko",../figures/Spanish_6.jpeg
7,28,['logro'],"argitalpen,erromes,arreba,testuinguru,gidari,arkume,usain,eskularru,zatiki,jauregi,haritz,negu,barraskilo,oilar,iruzur,erraldoi,batzorde,jostailu,emakume,sorgin,hiltzaile,asmaketa,garaile,erreka,lilura,errezel,kutxatila,zorion",../figures/Spanish_7.jpeg
8,24,['juguete'],"idazkari,aita,lehorte,testuinguru,olerkari,barraskilo,xake,mezulari,eramaile,amets,kutxatila,hiltzaile,aitorle,itzal,zuntz,gidari,jostailu,gonbidatu,zerrenda,garaipen,apezpiku,orrialde,margolari,sukaldari",../figures/Spanish_8.jpeg
9,12,['cobijo'],"araudi,ostatu,asmaketa,gidari,zuntz,arrain,garagardo,lan,hartzaile,erretzaile,jauregi,apezpiku",../figures/Spanish_9.jpeg
